id	source_class	disposition	target	name
CAP-001	A	REPLACE	P1	Strict UTF-8 `KEY=VALUE` config parser
CAP-002	A	PRESERVE	P1	Config version validation
CAP-003	A	DEFER	P16	Per-instance launcher `<instance>-mcp`
CAP-004	A	REPLACE	P1-P6	Repo-agnostic shared actuator
CAP-005	A	REPLACE	P1-P6	`workspace-mcp-setup` provisioning
CAP-006	A	DEFER	P15	Shared toolkit installer
CAP-007	A	DEFER	P15	Explicit toolkit `--upgrade`
CAP-008	A	DEFER	P15	Validate all existing configs before shared-manager upgrade
CAP-009	A	DEFER	P15	Atomic toolkit installation/copy
CAP-010	A	DEFER	P15	Refuse silent manager replacement while instances exist
CAP-011	A	PRESERVE	P6-P7	`install` lifecycle
CAP-012	A	PRESERVE	P6-P7	`remove` lifecycle
CAP-013	A	REPLACE	P6/P14	`cleanup` lifecycle
CAP-014	A	RETIRE	N/A	Default toggle install/remove behavior
CAP-015	A	PRESERVE	P6-P7	`start` / `stop` / `restart`
CAP-016	A	PRESERVE	P6-P7	`status`
CAP-017	A	PRESERVE	P6-P7	`test`
CAP-018	A	PRESERVE	P6-P7	`logs`
CAP-019	A	PRESERVE	P6-P7	`config-check`
CAP-020	A	PRESERVE	P4-P6	Generated MCP user-systemd service
CAP-021	A	PRESERVE	P4-P6	Generated tunnel user-systemd service
CAP-022	A	PRESERVE	P4-P6	Generated admission-guard service/timer
CAP-023	A	PRESERVE	P4-P6	Generated tunnel profile
CAP-024	A	PRESERVE	P4-P6	Explicit tunnel ID per instance
CAP-025	A	PRESERVE	P4-P6	Explicit MCP port
CAP-026	A	PRESERVE	P4-P6	Explicit tunnel-health port
CAP-027	A	PRESERVE	P4-P6	Tunnel profile-name isolation
CAP-028	A	PRESERVE	P4-P6	Duplicate workspace detection
CAP-029	A	PRESERVE	P4-P6	Cross-instance MCP-port collision detection
CAP-030	A	PRESERVE	P4-P6	Cross-instance tunnel-health-port collision detection
CAP-031	A	PRESERVE	P4-P6	Duplicate tunnel-ID detection in instance configs
CAP-032	A	PRESERVE	P4-P6	Duplicate tunnel-ID detection in legacy/existing profiles
CAP-033	A	PRESERVE	P4-P6	Tunnel-profile collision detection
CAP-034	A	PRESERVE	P4-P6	Listener ownership validation
CAP-035	A	PRESERVE	P4-P6	Process argument/cgroup ownership checks
CAP-036	A	PRESERVE	P4-P6	Safe orphan MCP/tunnel process cleanup
CAP-037	A	PRESERVE	P4-P6	Refuse termination of unverified foreign PID
CAP-038	A	PRESERVE	P4-P6	Managed-resource ownership markers
CAP-039	A	PRESERVE	P4-P6	Ownership-protected removal
CAP-040	A	PRESERVE	P4-P6	Cleanup audit defaults to read-only
CAP-041	A	PRESERVE	P4-P6	Cleanup preserves shared binaries/credential files
CAP-042	A	DEFER	P14	Legacy cleanup support
CAP-043	A	PRESERVE	P7	MCP discovery validation
CAP-044	A	PRESERVE	P7	MCP protocol `initialize` validation
CAP-045	A	PRESERVE	P7	MCP session cleanup after protocol test
CAP-046	A	PRESERVE	P7	`server_info` workspace validation
CAP-047	A	PRESERVE	P7	Permission-mode validation through MCP
CAP-048	A	PRESERVE	P7	Outside-workspace read rejection test
CAP-049	A	PRESERVE	P7	Tunnel `/healthz` validation
CAP-050	A	PRESERVE	P7	Tunnel `/readyz` validation
CAP-051	A	PRESERVE	P9	Git repository detection
CAP-052	A	PRESERVE	P9	Git working-tree status test
CAP-053	A	PRESERVE	P9	Git remote-access `ls-remote` test
CAP-054	A	PRESERVE	P9	Git remote probe uses real account home
CAP-055	A	PRESERVE	P9	Configurable MCP execution `PATH`
CAP-056	A	PRESERVE	P10	Codex executable resolution from configured PATH
CAP-057	A	PRESERVE	P10	Detached Codex jobs
CAP-058	A	PRESERVE	P10	Codex `read` and `write` modes
CAP-059	A	PRESERVE	P10	Codex `status`
CAP-060	A	PRESERVE	P10	Codex bounded `output`
CAP-061	A	PRESERVE	P10	Codex `cancel`
CAP-062	A	PRESERVE	P10	Persisted Codex request/status/result/output
CAP-063	A	PRESERVE	P10	Codex request-to-instance/workspace binding validation
CAP-064	A	PRESERVE	P10	Codex detached worker via transient systemd unit
CAP-065	A	PRESERVE	P10	Codex survival independent of initiating MCP request
CAP-066	A	PRESERVE	P13	Checkpoint written before reboot request
CAP-067	A	PRESERVE	P13	`reboot-check`
CAP-068	A	PRESERVE	P13	Narrow `workspace-mcp-reboot` bridge
CAP-069	A	PRESERVE	P13	Reboot authorization preflight
